Feature,Importance_3,Importance_1,Importance_2,Importance_0,Mean_Importance,Std_Importance,CV,Stability,Robust
open_lag15,0.0054253369822731354,0.0034650555802716123,0.0036446952989141047,0.005839591616581799,0.004593669869510163,0.0012135779244021854,0.26418483096459644,0.7358151690354036,False
atr_14_lag3,0.006046176751931574,0.006418883815247623,0.005447318008610076,0.00029364956991971086,0.0045515070364272455,0.0028666450248505055,0.6298232517110166,0.3701767482889834,False
low,0.006830192422525292,0.004510165669042275,0.004390690846702158,0.0023116961392212272,0.004510686269372738,0.0018466244483293396,0.4093887929934117,0.5906112070065883,False
high_lag1,0.00518281194715072,0.0031038940087716347,0.004820405728800023,0.004889771525986707,0.004499220802677271,0.0009433845696638429,0.20967731748900792,0.7903226825109921,False
close,0.006012380119283582,0.0026617093589981606,0.00481198897418772,0.004423102320043086,0.004477295193128137,0.0013865778552700988,0.3096909550277492,0.6903090449722509,False
low_lag20,0.004996458816609547,0.0035133736266173793,0.004042053128317091,0.004617312277939002,0.004292299462370754,0.0006508513429237597,0.15163232050008105,0.848367679499919,False
open_lag2,0.003868724935290532,0.004527516414754921,0.004282485201328376,0.0038908056300353093,0.004142383045352285,0.0003194455005352852,0.07711635774051952,0.9228836422594805,False
bollinger_lower,0.003745047676678282,0.005596282479393037,0.004320168117989043,0.0028137943915765734,0.004118823166409234,0.0011642213464964602,0.28265872828076494,0.7173412717192351,False
high_lag5,0.004747298464382798,0.0033505788925530466,0.00392623836713803,0.0044216821451682035,0.00411144946731052,0.0006093098403514815,0.148198300958379,0.8518016990416211,False
high_lag2,0.003953173253278747,0.0015669114248920495,0.003435481178846499,0.007447782506043062,0.004100837090765089,0.0024554243347770922,0.5987617212179511,0.4012382787820489,False
low_lag15,0.004735204424129198,0.004784215267459065,0.002331719924721218,0.004549121743803826,0.004100065340028327,0.0011832384855366836,0.2885901463876413,0.7114098536123588,False
open,0.00542305469085273,0.0026621060086456944,0.003596423124317413,0.0044997427184915815,0.004045331635576855,0.001185951409318653,0.2931654279150333,0.7068345720849667,False
quarter,0.007017544402857176,0.005600468656293495,0.00347182095983231,1.5352713394653187e-05,0.004026296683094409,0.003045252872803249,0.756340885150255,0.243659114849745,False
return_consistency,0.004371545152208277,0.0034013202669010427,0.006387397370528993,0.0015133946151206885,0.00391841435118975,0.0020291797107456415,0.5178573466442583,0.4821426533557417,False
high_lag20,0.004153848075745991,0.003260714694042015,0.0054830089547736795,0.0026740647377956413,0.0038929091155893315,0.00122225993463155,0.31397082925462394,0.6860291707453761,False
